Istituzione Scolastica;Ordine Scolastico;Scuola/Indirizzo;Scuola/Indirizzo - Codice PAT;Numero Iscritti;Numero Classi
ISTITUTO COMPRENSIVO BORGO VALSUGANA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""ORA E VEGLIA"" BORGO VALSUGANA";0220223001;198;10
ISTITUTO COMPRENSIVO BORGO VALSUGANA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""S. FANTE"" GRIGNO";0220953001;51;3
ISTITUTO COMPRENSIVO BRENTONICO;PRIMARIA;SCUOLA PRIMARIA BRENTONICO;2011;177;10
ISTITUTO COMPRENSIVO BRENTONICO;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO BRENTONICO;2012;125;7
ISTITUTO COMPRENSIVO CAVALESE;PRIMARIA;SCUOLA PRIMARIA CAPRIANA;0220402101;19;2
ISTITUTO COMPRENSIVO CAVALESE;PRIMARIA;SCUOLA PRIMARIA CARANO;0220412101;48;4
ISTITUTO COMPRENSIVO CAVALESE;PRIMARIA;SCUOLA PRIMARIA CASATTA VALFLORIANA;0222092101;15;1
ISTITUTO COMPRENSIVO CAVALESE;PRIMARIA;SCUOLA PRIMARIA CASTELLO DI FIEMME;0220472101;75;5
ISTITUTO COMPRENSIVO CAVALESE;PRIMARIA;SCUOLA PRIMARIA CAVALESE;0220502101;150;10
ISTITUTO COMPRENSIVO CAVALESE;PRIMARIA;SCUOLA PRIMARIA MASI CAVALESE;0220502102;33;3
ISTITUTO COMPRENSIVO CAVALESE;PRIMARIA;SCUOLA PRIMARIA MOLINA DI FIEMME;0220472102;54;4
ISTITUTO COMPRENSIVO CAVALESE;PRIMARIA;SCUOLA PRIMARIA VARENA;0222112101;72;5
ISTITUTO COMPRENSIVO CAVALESE;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. SEGANTINI"" CAVALESE";0220503001;308;14
ISTITUTO COMPRENSIVO CEMBRA;PRIMARIA;"SCUOLA PRIMARIA ""DON L. MILANI"" LASES";0221082101;32;3
ISTITUTO COMPRENSIVO CEMBRA;PRIMARIA;"SCUOLA PRIMARIA ""P. MARCONI"" FAVER";0220822101;59;5
ISTITUTO COMPRENSIVO CEMBRA;PRIMARIA;"SCUOLA PRIMARIA ""P. SARTORI"" SOVER";0221772101;24;3
ISTITUTO COMPRENSIVO CEMBRA;PRIMARIA;SCUOLA PRIMARIA CEMBRA;0220552101;126;7
ISTITUTO COMPRENSIVO CEMBRA;PRIMARIA;SCUOLA PRIMARIA STEDRO SEGONZANO;0221722101;58;5
ISTITUTO COMPRENSIVO CEMBRA;PRIMARIA;SCUOLA PRIMARIA VERLA GIOVO;0220922101;117;7
ISTITUTO COMPRENSIVO CEMBRA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""A. VIELMETTI"" CEMBRA";0220553001;117;6
ISTITUTO COMPRENSIVO CEMBRA;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO STEDRO SEGONZANO;0221723001;58;4
ISTITUTO COMPRENSIVO CEMBRA;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO VERLA GIOVO;0220923001;77;5
ISTITUTO COMPRENSIVO CENTRO VALSUGANA;PRIMARIA;"SCUOLA PRIMARIA ""C. CORRADI"" NOVALEDO";0221292102;67;5
ISTITUTO COMPRENSIVO CENTRO VALSUGANA;PRIMARIA;"SCUOLA PRIMARIA ""P. MARTINELLI"" RONCEGNO TERME";0221562104;82;5
ISTITUTO COMPRENSIVO CENTRO VALSUGANA;PRIMARIA;"SCUOLA PRIMARIA ""T. V. GOZZER"" CASTELNUOVO";0220492102;60;5
ISTITUTO COMPRENSIVO CENTRO VALSUGANA;PRIMARIA;SCUOLA PRIMARIA MARTER;0221562103;60;5
ISTITUTO COMPRENSIVO CENTRO VALSUGANA;PRIMARIA;SCUOLA PRIMARIA RONCHI VALSUGANA;2009;39;3
ISTITUTO COMPRENSIVO CENTRO VALSUGANA;PRIMARIA;SCUOLA PRIMARIA TELVE;0221882102;107;7
ISTITUTO COMPRENSIVO CENTRO VALSUGANA;PRIMARIA;SCUOLA PRIMARIA TELVE DI SOPRA;0221892102;49;5
ISTITUTO COMPRENSIVO CENTRO VALSUGANA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""DON L. MILANI"" TELVE";0221883002;165;9
ISTITUTO COMPRENSIVO CENTRO VALSUGANA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""M. POLA"" RONCEGNO TERME";0221563002;146;8
ISTITUTO COMPRENSIVO CIVEZZANO;PRIMARIA;"SCUOLA PRIMARIA ""A. GIRARDI"" FORNACE";0220892101;72;5
ISTITUTO COMPRENSIVO CIVEZZANO;PRIMARIA;"SCUOLA PRIMARIA ""G. B. BORSIERI"" CIVEZZANO";0220612101;111;6
ISTITUTO COMPRENSIVO CIVEZZANO;PRIMARIA;SCUOLA PRIMARIA ALBIANO;0220022101;104;6
ISTITUTO COMPRENSIVO CIVEZZANO;PRIMARIA;SCUOLA PRIMARIA SEREGNANO CIVEZZANO;0220612102;73;5
ISTITUTO COMPRENSIVO CIVEZZANO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. ALESSANDRINI"" CIVEZZANO";0220613001;146;8
ISTITUTO COMPRENSIVO CIVEZZANO;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO ALBIANO;0220023001;41;3
"ISTITUTO COMPRENSIVO CLES ""B. Clesio""";PRIMARIA;"SCUOLA PRIMARIA ""O.Focherini M.Marchesi"" MIONE RUMO";0221632101;32;3
"ISTITUTO COMPRENSIVO CLES ""B. Clesio""";PRIMARIA;SCUOLA PRIMARIA CLES;0220622101;346;17
"ISTITUTO COMPRENSIVO CLES ""B. Clesio""";PRIMARIA;"SCUOLA PRIMARIA VAROLLO LIVO ""Chiara Lubich""";0221062101;60;5
